n_tx,total_days,total_spent_btc,total_received_btc,total_spent_usd,total_received_usd,mean_balance_btc,std_balance_btc,mean_balance_usd,std_balance_usd,n_received,n_spent,n_coinbase,n_payback,n_received_inclusive,n_spent_inclusive,n_coinbase_inclusive,n_payback_inclusive,f_tx,f_received,f_coinbase,f_spent_digits_-3,f_spent_digits_-2,f_spent_digits_-1,f_spent_digits_0,f_spent_digits_1,f_spent_digits_2,f_spent_digits_3,f_spent_digits_4,f_spent_digits_5,f_spent_digits_6,f_received_digits_-3,f_received_digits_-2,f_received_digits_-1,f_received_digits_0,f_received_digits_1,f_received_digits_2,f_received_digits_3,f_received_digits_4,f_received_digits_5,f_received_digits_6,r_payback,n_inputs_in_spent,n_outputs_in_spent,interval_1st_moment,interval_2nd_moment,interval_3rd_moment,interval_4th_moment,dist_total_1st_moment,dist_total_2nd_moment,dist_total_3rd_moment,dist_total_4th_moment,dist_coinbase_1st_moment,dist_coinbase_2nd_moment,dist_coinbase_3rd_moment,dist_coinbase_4th_moment,dist_spend_1st_moment,dist_spend_2nd_moment,dist_spend_3rd_moment,dist_spend_4th_moment,dist_receive_1st_moment,dist_receive_2nd_moment,dist_receive_3rd_moment,dist_receive_4th_moment,dist_payback_1st_moment,dist_payback_2nd_moment,dist_payback_3rd_moment,dist_payback_4th_moment,class
2.0,1.0,1.1811,1.1811,840.3786019042968,840.3786019042968,0.59055,0.0146289025,420.1893009521484,7406.079637877207,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,1.0,0.5,0.25,0.0,1.0,0.5,0.25,0.0,1.0,5
4.0,1.0,0.37141835,0.37141835,261.2623639830536,261.2623639830536,0.0928545875,2.9324992407918724e-05,65.3155909957634,14.50991605814334,4.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,110.25,0.9122125040492388,2.1333549292732967,0.0,0.0,0.0,0.0,9.5,110.25,0.9122125040492388,2.1333549292732967,9.5,110.25,0.9122125040492388,2.1333549292732967,9.5,110.25,0.9122125040492388,2.1333549292732967,5
1.0,1.0,0.04305903,0.04305903,30.28849804705993,30.28849804705993,0.04305903,0.0,30.28849804705993,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1.0,1.0,0.00892116,0.00892116,6.144003000900878,6.144003000900878,0.00892116,0.0,6.144003000900878,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1.0,1.0,0.0707,0.0707,49.71871346435547,49.71871346435547,0.0707,0.0,49.71871346435547,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
15.0,1.0,5.66561584,5.66561584,3901.90969816835,3901.90969816835,0.3777077226666667,0.2678791219903828,260.1273132112234,127057.13205459686,15.0,0.0,0.0,15.0,15.0,15.0,0.0,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5066666666666667,0.7541980482736796,2.297783933518005,0.0,0.0,0.0,0.0,0.6,0.5066666666666667,0.7541980482736796,2.297783933518005,0.6,0.5066666666666667,0.7541980482736796,2.297783933518005,0.6,0.5066666666666667,0.7541980482736796,2.297783933518005,5
24.0,4.0,5.890587569999999,5.890587569999999,4202.023411656463,4202.023411656463,0.24544114875,0.2369669465288887,175.08430881901927,121026.11177980472,24.0,0.0,0.0,24.0,24.0,24.0,0.0,24.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0434782608695652,5.172022684310017,1.7206180040292136,3.9605263157894752,249.29166666666663,38451.28993055556,-0.066808074613404,1.2736171431034915,0.0,0.0,0.0,0.0,249.29166666666663,38451.28993055556,-0.066808074613404,1.2736171431034915,249.29166666666663,38451.28993055556,-0.066808074613404,1.2736171431034915,249.29166666666663,38451.28993055556,-0.066808074613404,1.2736171431034915,5
3.0,1.0,0.287,0.287,198.80516638183596,198.80516638183596,0.0956666666666666,0.0001555555555555,66.2683887939453,65.28743766412471,3.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,2.25,0.0,1.0,60.333333333333336,5228.222222222222,0.6706644359648661,1.5,0.0,0.0,0.0,0.0,60.333333333333336,5228.222222222222,0.6706644359648661,1.5,60.333333333333336,5228.222222222222,0.6706644359648661,1.5,60.333333333333336,5228.222222222222,0.6706644359648661,1.5,5
2.0,1.0,2.1918,2.1918,1541.7516376831054,1541.7516376831054,1.0959,0.02702736,770.8758188415527,13373.05460878223,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,2.0,4.0,0.0,1.0,2.0,4.0,0.0,1.0,5
1.0,1.0,0.4884,0.4884,336.36108596191406,336.36108596191406,0.4884,0.0,336.36108596191406,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
